gene,aINS_male,Cg25_male,dlPFC_male,Nac_male,OFC_male,Sub_male,GENENAME,SYMBOL,exclusive
ENSG00000188089,0,0,0,0,1,0,phospholipase A2 group IVE,PLA2G4E,1
ENSG00000174292,0,0,0,0,1,0,tyrosine kinase non receptor 1,TNK1,1
ENSG00000159247,0,0,0,0,1,0,NA,NA,1
ENSG00000185803,0,0,0,0,1,0,solute carrier family 52 member 2,SLC52A2,1
ENSG00000140835,0,0,0,0,1,0,carbohydrate sulfotransferase 4,CHST4,1
ENSG00000100601,0,0,0,0,1,0,"alkB homolog 1, histone H2A dioxygenase",ALKBH1,1
ENSG00000215217,0,0,0,0,1,0,chromosome 5 open reading frame 49,C5orf49,1
ENSG00000103326,0,0,0,0,1,0,calpain 15,CAPN15,1
ENSG00000105479,0,0,0,0,1,0,outer dynein arm docking complex subunit 1,ODAD1,1
ENSG00000248698,0,0,0,0,1,0,long intergenic non-protein coding RNA 1085,LINC01085,1
ENSG00000125841,0,0,0,0,1,0,neurensin 2,NRSN2,1
ENSG00000100300,0,0,0,0,1,0,translocator protein,TSPO,1
ENSG00000128564,0,0,0,0,1,0,VGF nerve growth factor inducible,VGF,1
ENSG00000160685,0,0,0,0,1,0,zinc finger and BTB domain containing 7B,ZBTB7B,1
ENSG00000155511,0,0,0,0,0,1,glutamate ionotropic receptor AMPA type subunit 1,GRIA1,1
ENSG00000183665,0,0,0,0,0,1,tRNA methyltransferase 12 homolog,TRMT12,1
ENSG00000053438,0,0,0,0,0,1,neuronatin,NNAT,1
ENSG00000185149,0,0,0,0,0,1,neuropeptide Y receptor Y2,NPY2R,1
ENSG00000183287,0,0,0,0,0,1,collagen and calcium binding EGF domains 1,CCBE1,1
ENSG00000119698,0,0,0,0,0,1,protein phosphatase 4 regulatory subunit 4,PPP4R4,1
ENSG00000106069,0,0,0,0,0,1,chimerin 2,CHN2,1
ENSG00000178163,0,0,0,0,0,1,zinc finger protein 518B,ZNF518B,1
ENSG00000089847,0,0,0,0,0,1,ankyrin repeat domain 24,ANKRD24,1
ENSG00000198046,0,0,0,0,0,1,zinc finger protein 667,ZNF667,1
ENSG00000147041,0,0,0,0,0,1,synaptotagmin like 5,SYTL5,1
ENSG00000220804,0,0,0,0,0,1,NA,NA,1
ENSG00000128573,0,0,0,0,0,1,forkhead box P2,FOXP2,1
ENSG00000185052,0,0,0,0,0,1,solute carrier family 24 member 3,SLC24A3,1
ENSG00000211896,0,0,0,0,0,1,immunoglobulin heavy constant gamma 1 (G1m marker),IGHG1,1
ENSG00000156140,0,0,0,0,0,1,ADAM metallopeptidase with thrombospondin type 1 motif 3,ADAMTS3,1
ENSG00000215388,0,0,0,0,0,1,NA,NA,1
ENSG00000146386,0,0,0,0,0,1,ABRA C-terminal like,ABRACL,1
ENSG00000198563,0,0,0,0,0,1,DExD-box helicase 39B,DDX39B,1
ENSG00000163491,0,0,0,0,0,1,NIMA related kinase 10,NEK10,1
ENSG00000168538,0,0,0,0,0,1,trafficking protein particle complex subunit 11,TRAPPC11,1
ENSG00000105518,0,0,0,0,0,1,transmembrane protein 205,TMEM205,1
ENSG00000109689,0,0,0,0,0,1,stromal interaction molecule 2,STIM2,1
ENSG00000068366,0,0,0,0,0,1,acyl-CoA synthetase long chain family member 4,ACSL4,1
ENSG00000162066,0,0,0,0,0,1,amidohydrolase domain containing 2,AMDHD2,1
ENSG00000028839,0,0,0,0,0,1,TATA-box binding protein like 1,TBPL1,1
ENSG00000263142,0,0,0,0,0,1,"leucine rich repeat containing 37 member A17, pseudogene",LRRC37A17P,1
ENSG00000119401,0,0,0,0,0,1,tripartite motif containing 32,TRIM32,1
ENSG00000147400,0,0,0,0,0,1,centrin 2,CETN2,1
ENSG00000181467,0,0,0,0,0,1,"RAP2B, member of RAS oncogene family",RAP2B,1
ENSG00000151490,0,0,0,0,0,1,protein tyrosine phosphatase receptor type O,PTPRO,1
ENSG00000162437,0,0,0,0,0,1,"ribonucleoprotein, PTB binding 2",RAVER2,1
ENSG00000103047,0,0,0,0,0,1,transport and golgi organization 6 homolog,TANGO6,1
ENSG00000130347,0,0,0,0,0,1,reticulon 4 interacting protein 1,RTN4IP1,1
ENSG00000159685,0,0,0,0,0,1,coiled-coil-helix-coiled-coil-helix domain containing 6,CHCHD6,1
ENSG00000136986,0,0,0,0,0,1,derlin 1,DERL1,1
ENSG00000109466,0,0,0,0,0,1,kelch like family member 2,KLHL2,1
ENSG00000175182,0,0,0,0,0,1,family with sequence similarity 131 member A,FAM131A,1
ENSG00000059758,0,0,0,0,0,1,cyclin dependent kinase 17,CDK17,1
ENSG00000140623,0,0,0,0,0,1,septin 12,SEPTIN12,1
ENSG00000184307,0,0,0,0,0,1,zinc finger DHHC-type palmitoyltransferase 23,ZDHHC23,1
ENSG00000154654,0,0,0,0,0,1,neural cell adhesion molecule 2,NCAM2,1
ENSG00000115091,0,0,0,0,0,1,actin related protein 3,ACTR3,1
ENSG00000163468,0,0,0,0,0,1,chaperonin containing TCP1 subunit 3,CCT3,1
ENSG00000008083,0,0,0,0,0,1,jumonji and AT-rich interaction domain containing 2,JARID2,1
ENSG00000164603,0,0,0,0,0,1,base methyltransferase of 25S rRNA 2 homolog,BMT2,1
ENSG00000117069,0,0,0,0,0,1,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",ST6GALNAC5,1
ENSG00000239649,0,0,0,0,0,1,myeloid associated differentiation marker like (pseudogene),MYADML,1
ENSG00000156414,0,0,0,0,0,1,tudor domain containing 9,TDRD9,1
ENSG00000102078,0,0,0,0,0,1,solute carrier family 25 member 14,SLC25A14,1
ENSG00000156261,0,0,0,0,0,1,chaperonin containing TCP1 subunit 8,CCT8,1
ENSG00000174684,0,0,0,0,0,1,"beta-1,4-glucuronyltransferase 1",B4GAT1,1
ENSG00000271207,0,0,0,0,0,1,MT-CO1 pseudogene 22,MTCO1P22,1
ENSG00000131747,0,0,0,0,0,1,DNA topoisomerase II alpha,TOP2A,1
ENSG00000219294,0,0,0,0,0,1,NA,NA,1
ENSG00000198185,0,0,0,0,0,1,zinc finger protein 334,ZNF334,1
ENSG00000071127,0,0,0,0,0,1,WD repeat domain 1,WDR1,1
ENSG00000197859,0,0,0,0,0,1,ADAMTS like 2,ADAMTSL2,1
ENSG00000105173,0,0,0,0,0,1,cyclin E1,CCNE1,1
ENSG00000250982,0,0,0,0,0,1,NA,NA,1
ENSG00000011009,0,0,0,0,0,1,lysophospholipase 2,LYPLA2,1
ENSG00000047249,0,0,0,0,0,1,ATPase H+ transporting V1 subunit H,ATP6V1H,1
ENSG00000121073,0,0,0,0,0,1,solute carrier family 35 member B1,SLC35B1,1
ENSG00000157211,0,0,0,0,0,1,CUB domain containing protein 2,CDCP2,1
ENSG00000213816,0,0,0,0,0,1,NA,NA,1
ENSG00000102753,0,0,0,0,0,1,karyopherin subunit alpha 3,KPNA3,1
ENSG00000170881,0,0,0,0,0,1,ring finger protein 139,RNF139,1
ENSG00000117477,0,0,0,0,0,1,coiled-coil domain containing 181,CCDC181,1
ENSG00000229184,0,0,0,0,0,1,ATP synthase peripheral stalk subunit d pseudogene 2,ATP5PDP2,1
ENSG00000145050,0,0,0,0,0,1,mesencephalic astrocyte derived neurotrophic factor,MANF,1
ENSG00000128595,0,0,0,0,0,1,calumenin,CALU,1
ENSG00000206145,0,0,0,0,0,1,NA,NA,1
ENSG00000242114,0,0,0,0,0,1,mitochondrial fission process 1,MTFP1,1
ENSG00000160087,0,0,0,0,0,1,ubiquitin conjugating enzyme E2 J2,UBE2J2,1
ENSG00000169976,0,0,0,0,0,1,splicing factor 3b subunit 5,SF3B5,1
ENSG00000079689,0,0,0,0,0,1,"secretagogin, EF-hand calcium binding protein",SCGN,1
ENSG00000242372,0,0,0,0,0,1,eukaryotic translation initiation factor 6,EIF6,1
ENSG00000168036,0,0,0,0,0,1,catenin beta 1,CTNNB1,1
ENSG00000270326,0,0,0,0,0,1,NA,NA,1
ENSG00000133872,0,0,0,0,0,1,store-operated calcium entry associated regulatory factor,SARAF,1
ENSG00000108256,0,0,0,0,0,1,nuclear FMR1 interacting protein 2,NUFIP2,1
ENSG00000164080,0,0,0,0,0,1,RAD54 like 2,RAD54L2,1
ENSG00000259330,0,0,0,0,0,1,InaF motif containing 2,INAFM2,1
ENSG00000165905,0,0,0,0,0,1,LARGE xylosyl- and glucuronyltransferase 2,LARGE2,1
ENSG00000277883,0,0,0,0,0,1,NA,NA,1
ENSG00000117543,0,0,0,0,0,1,diphthamide biosynthesis 5,DPH5,1
ENSG00000185272,0,0,0,0,0,1,RNA binding motif protein 11,RBM11,1
ENSG00000189369,0,0,0,0,0,1,G1 to S phase transition 2,GSPT2,1
ENSG00000114480,0,0,0,0,0,1,"1,4-alpha-glucan branching enzyme 1",GBE1,1
ENSG00000154262,0,0,0,0,0,1,ATP binding cassette subfamily A member 6,ABCA6,1
ENSG00000160973,0,0,0,0,0,1,forkhead box H1,FOXH1,1
ENSG00000185187,0,0,0,0,0,1,single Ig and TIR domain containing,SIGIRR,1
ENSG00000174567,0,0,0,0,0,1,golgi transport 1A,GOLT1A,1
ENSG00000161960,0,0,0,0,0,1,eukaryotic translation initiation factor 4A1,EIF4A1,1
ENSG00000108641,0,0,0,0,0,1,B9 domain containing 1,B9D1,1
ENSG00000065183,0,0,0,0,0,1,WD repeat domain 3,WDR3,1
ENSG00000189045,0,0,0,0,0,1,ankyrin repeat and death domain containing 1B,ANKDD1B,1
ENSG00000059769,0,0,0,0,0,1,DnaJ heat shock protein family (Hsp40) member C25,DNAJC25,1
ENSG00000163630,0,0,0,0,0,1,synaptoporin,SYNPR,1
ENSG00000132463,0,0,0,0,0,1,G-rich RNA sequence binding factor 1,GRSF1,1
ENSG00000116906,0,0,0,0,0,1,glyceronephosphate O-acyltransferase,GNPAT,1
ENSG00000089169,0,0,0,0,0,1,rabphilin 3A,RPH3A,1
ENSG00000125870,0,0,0,0,0,1,small nuclear ribonucleoprotein polypeptide B2,SNRPB2,1
ENSG00000253729,0,0,0,0,0,1,"protein kinase, DNA-activated, catalytic subunit",PRKDC,1
ENSG00000123496,0,0,0,0,0,1,interleukin 13 receptor subunit alpha 2,IL13RA2,1
ENSG00000169282,0,0,0,0,0,1,potassium voltage-gated channel subfamily A regulatory beta subunit 1,KCNAB1,1
ENSG00000165688,0,0,0,0,0,1,"peptidase, mitochondrial processing subunit alpha",PMPCA,1
ENSG00000166128,0,0,0,0,0,1,"RAB8B, member RAS oncogene family",RAB8B,1
ENSG00000274286,0,0,0,0,0,1,adrenoceptor alpha 2B,ADRA2B,1
ENSG00000090097,0,0,0,0,0,1,poly(rC) binding protein 4,PCBP4,1
ENSG00000145526,0,0,0,0,0,1,cadherin 18,CDH18,1
ENSG00000141013,0,0,0,0,0,1,growth arrest specific 8,GAS8,1
ENSG00000099331,0,0,0,0,0,1,myosin IXB,MYO9B,1
ENSG00000221882,0,0,0,0,0,1,olfactory receptor family 3 subfamily A member 2,OR3A2,1
ENSG00000143156,0,0,0,0,0,1,NME/NM23 family member 7,NME7,1
ENSG00000164099,0,0,0,0,0,1,serine protease 12,PRSS12,1
ENSG00000120500,0,0,0,0,0,1,arrestin 3,ARR3,1
ENSG00000057294,0,0,0,0,0,1,plakophilin 2,PKP2,1
ENSG00000144668,0,0,0,0,0,1,integrin subunit alpha 9,ITGA9,1
ENSG00000186204,0,0,0,0,0,1,cytochrome P450 family 4 subfamily F member 12,CYP4F12,1
ENSG00000115649,0,0,0,0,0,1,cyclin Pas1/PHO80 domain containing 1,CNPPD1,1
ENSG00000184887,0,0,0,0,0,1,BTB domain containing 6,BTBD6,1
ENSG00000177627,0,0,0,0,0,1,chromosome 12 open reading frame 54,C12orf54,1
ENSG00000221986,0,0,0,0,0,1,myosin binding protein H like,MYBPHL,1
ENSG00000227152,0,0,0,0,0,1,olfactory receptor family 2 subfamily T member 7,OR2T7,1
ENSG00000205220,0,0,0,0,0,1,proteasome 20S subunit beta 10,PSMB10,1
ENSG00000165480,0,0,0,0,0,1,spindle and kinetochore associated complex subunit 3,SKA3,1
ENSG00000095970,0,0,0,0,0,1,triggering receptor expressed on myeloid cells 2,TREM2,1
ENSG00000170703,0,0,0,0,0,1,tubulin tyrosine ligase like 6,TTLL6,1
